full_id;title;desc;pdf_url
r21-805;Accompagner la rénovation de la presse quotidienne régionale;Rapport d'information de M. Michel LAUGIER, fait au nom de la commission de la culture, de l'éducation et de la communication;http://www.senat.fr/rap/r21-805/r21-8051.pdf
r21-800;La politique de la ville, un tremplin pour les habitants;Rapport d'information de Mmes Viviane ARTIGALAS, Dominique ESTROSI SASSONE et Valérie LÉTARD, fait au nom de la commission des affaires économiques;http://www.senat.fr/rap/r21-800/r21-8001.pdf
r21-799;Une inflation tirée par les matières premières et une règlementation des relations commerciales inadaptée;Rapport d'information de M. Daniel GREMILLET et Mme Anne-Catherine LOISIER, fait au nom de la commission des affaires économiques;http://www.senat.fr/rap/r21-799/r21-7991.pdf
r21-777;Quel avenir pour le corps diplomatique ?;Rapport d'information de MM. Jean-Pierre GRAND et André VALLINI, fait au nom de la commission des affaires étrangères, de la défense et des forces armées;http://www.senat.fr/rap/r21-777/r21-7771.pdf
r21-776;Finale de la Ligue des Champions au Stade de France : un fiasco inévitable;Rapport d'information de MM. François-Noël BUFFET et Laurent LAFON, fait au nom de la commission de la culture, de l'éducation et de la communication et de la commission des lois;http://www.senat.fr/rap/r21-776/r21-7761.pdf
r21-773;Les obligations assimilables du Trésor (OAT) vertes;Rapport d'information de M. Jérôme BASCHER, fait au nom de la commission des finances;http://www.senat.fr/rap/r21-773/r21-7731.pdf
r21-771;Le contrôle des EHPAD;Rapport d'information de M. Bernard BONNE et Mme Michelle MEUNIER, fait au nom de la commission des affaires sociales;http://www.senat.fr/rap/r21-771/r21-7711.pdf
r21-766;Mise en oeuvre de la loi de programmation de la recherche : un début globalement satisfaisant mais des correctifs nécessaires lors de la revoyure 2023;Rapport d'information de Mme Laure DARCOS et M. Stéphane PIEDNOIR, fait au nom de la commission de la culture, de l'éducation et de la communication;http://www.senat.fr/rap/r21-766/r21-7661.pdf
r21-765;Patrimoine religieux en péril : la messe n'est pas dite;Rapport d'information de M. Pierre OUZOULIAS et Mme Anne VENTALON, fait au nom de la commission de la culture, de l'éducation et de la communication;http://www.senat.fr/rap/r21-765/r21-7651.pdf
r21-764;Les grandes orientations de la politique étrangère américaine et les relations transatlantiques;Rapport d'information de M. Pascal ALLIZARD, Mme Hélène CONWAY-MOURET et M. André GATTOLIN, fait au nom de la commission des affaires étrangères, de la défense et des forces armées;
